,chain,voter,contribution_s,stability_s,popularity_s,commission_s,period_s
3813,sommelier,rockawayxinfra,84.02777777777777,69.73643986188331,41.85014405747563,67.63850445910816,100.00000000000001
3814,sommelier,rorcual,45.138888888888886,51.50837707922747,18.937516538124008,67.63850445910816,7.871465295629822
3815,sommelier,sevenseas,76.04166666666666,75.96190721893305,41.49898507015981,93.8145789341324,35.73907455012854
3816,sommelier,simplystaking,88.125,70.0089094937069,57.98788393220982,67.63850445910816,100.00000000000001
3817,sommelier,sleepykitten,68.75,69.27355439248515,30.167035192804164,92.26731773336596,61.061696658097695
3818,sommelier,stakecito,88.125,75.28463686776676,62.06677699344384,67.63850445910816,100.00000000000001
3819,sommelier,stakelab,54.166666666666664,73.54276403490081,50.264337832953146,100.0,67.55141388174808
3820,sommelier,stakewolle.com0,85.95085470085469,72.09155186961272,41.33483952328481,100.0,53.935732647814916
3821,sommelier,standardcrypto,67.3611111111111,73.77190511060239,33.39278648212359,26.12991394828773,100.00000000000001
3822,sommelier,teku,93.01963601532567,68.7000720253185,39.42824294581928,95.47656994638024,73.91388174807199
3823,sommelier,tessellated,88.8888888888889,68.11258742965423,32.815700586701894,26.12991394828773,58.26221079691517
3824,sommelier,twobuckchuck,0.0,51.0941645060938,18.065365355309428,11.679440261094424,56.353470437018004
3825,sommelier,validatus,40.32738095238096,51.93821170617616,19.724652866034972,67.63850445910816,69.33290488431878
3826,sommelier,web34ever,71.52777777777777,55.58767890715329,28.969304577188044,67.63850445910816,43.501285347043705
3827,sommelier,ztake.org,36.80555555555555,44.92326204943946,20.440066637099967,42.11951890438665,56.86246786632391
3828,stafi,chihuahua,88.8888888888889,66.23880917621858,13.004445023136046,26.12991394828773,100.0
3829,stafi,citadel.one,100.0,65.87290696532831,9.736412994225146,67.63850445910816,100.0
3830,stafi,cosmostation,100.0,67.01420150474266,17.08948505927468,67.63850445910816,41.17391304347825
3831,stafi,easy2stake,88.8888888888889,65.87263687110719,10.55342100145287,67.63850445910816,100.0
3832,stafi,forbole,55.55555555555555,65.87282010800315,10.961925005066734,26.12991394828773,100.0
3833,stafi,irisnet,100.0,65.85407954288168,10.086559283037028,26.12991394828773,100.0
3834,stafi,nodejumper,100.0,65.87290696532831,9.827191661694894,26.12991394828773,52.6521739130435
3835,stafi,nodestake,100.0,64.74979745890413,9.464076991815904,26.12991394828773,1.0
3836,stafi,stafifoundation1,100.0,65.8727526421935,10.28108499904363,26.12991394828773,100.0
3837,stafi,stafifoundation2,100.0,65.86738166707376,9.600244993020524,26.12991394828773,100.0
3838,stafi,stafifoundation3,100.0,65.87214343611929,9.662139539022624,26.12991394828773,100.0
3839,stafi,stakelab,55.55555555555555,65.87290696532831,9.940664996032076,26.12991394828773,100.0
3840,stafi,stakewithus,100.0,66.06034668665328,11.642765011089836,67.63850445910816,100.0
3841,stafi,stakingcabin,55.55555555555555,64.74971279565648,9.502982135017223,26.12991394828773,9.608695652173878
3842,stafi,wetez,100.0,65.86866587287942,9.5478726848649,26.12991394828773,100.0
3843,stargaze,0base.vc,87.16352716352715,70.3139765521388,59.851909187424624,67.63850445910816,99.99999999999999
3844,stargaze,a41,77.21267880503548,68.88642571120795,48.56504231898599,67.63850445910816,88.69014084507042
3845,stargaze,alex,52.53539410165916,64.6464542400228,42.88791032046675,67.63850445910816,99.99999999999999
3846,stargaze,alkadeta,92.76094276094275,72.37347045235676,50.298035664241745,67.63850445910816,99.99999999999999
3847,stargaze,allnodes,42.76094276094276,71.79594083346178,53.758294091426606,67.63850445910816,71.95774647887323
3848,stargaze,arcpool,92.5071225071225,68.3526354475887,42.82666993642204,67.63850445910816,99.99999999999999
3849,stargaze,armyids,87.81601323974205,69.68213084606423,41.51164980646851,26.12991394828773,99.99999999999999
3850,stargaze,astroquirks,38.81673881673881,67.37930027580445,36.03668482608084,67.63850445910816,28.4225352112676
3851,stargaze,autostake,64.27217155372496,68.91493839711472,48.1069882142475,67.63850445910816,37.40845070422535
3852,stargaze,azstake,43.20415034700749,63.03345818444255,46.13783954248667,67.63850445910816,99.99999999999999
3853,stargaze,badkids,43.71607228750086,73.43422542052282,54.43385186554141,67.63850445910816,66.69014084507042
3854,stargaze,bdn,44.23076923076923,67.62024663815535,47.93879605730578,67.63850445910816,99.99999999999999
3855,stargaze,blackhox,89.63161021984551,69.45854833188358,41.54216681026619,67.63850445910816,99.99999999999999
3856,stargaze,blockpane,51.64043536136559,67.3407159314934,49.72556178897342,67.63850445910816,99.53521126760563
3857,stargaze,bloclick,62.47594997594997,68.6711108685451,47.75852805026483,67.63850445910816,99.99999999999999
3858,stargaze,bluestake,81.29196153148249,67.77660293406562,54.39017988523216,67.63850445910816,99.99999999999999
3859,stargaze,bronbro,82.26120857699804,70.08011245481062,61.3565082183448,67.63850445910816,99.53521126760563
3860,stargaze,broxa,51.888251888251894,65.51790305691028,43.596621793718086,67.63850445910816,22.84507042253521
